system:index,latitude,longitude,occurrence,point_id,.geo
209_0,41.48343625264802,2.275477530438934,0,147.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.275477530438934,41.48343625264802]}"
211_0,41.47265646923858,2.2326278913864144,0,148.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2326278913864144,41.47265646923858]}"
213_0,41.34437704666632,2.0981500933537234,0,149.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0981500933537234,41.34437704666632]}"
214_0,41.40878625253769,2.211068324567549,0,150.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.211068324567549,41.40878625253769]}"
216_0,41.30961224517089,2.0245780715843296,0,151.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0245780715843296,41.30961224517089]}"
219_0,41.366475602655655,2.150971032059971,0,152.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.150971032059971,41.366475602655655]}"
222_0,41.34868896003009,2.038322295431385,0,153.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.038322295431385,41.34868896003009]}"
223_0,41.47912433928424,2.2822148950698136,0,154.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2822148950698136,41.47912433928424]}"
224_0,41.48990412269368,2.1860053281406238,0,155.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1860053281406238,41.48990412269368]}"
226_0,41.41067271463434,2.1919342090158125,0,156.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1919342090158125,41.41067271463434]}"
229_0,41.3389871549616,2.0542224759603016,0,157.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0542224759603016,41.3389871549616]}"
231_0,41.44624599988547,2.1536659779123113,0,158.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1536659779123113,41.44624599988547]}"
232_0,41.42118300345853,2.1946291548681813,0,159.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1946291548681813,41.42118300345853]}"
235_0,41.48774816601179,2.1905867360896423,0,160.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1905867360896423,41.48774816601179]}"
237_0,41.4494799349083,2.0800939561429175,0,161.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0800939561429175,41.4494799349083]}"
238_0,41.39046062074165,2.076321031949618,0,162.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.076321031949618,41.39046062074165]}"
240_0,41.48505322015943,2.1746865555607258,0,163.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1746865555607258,41.48505322015943]}"
241_0,41.416601595509526,2.0973416095980326,0,164.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0973416095980326,41.416601595509526]}"
244_0,41.325242931114566,2.0420952196246844,0,165.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0420952196246844,41.325242931114566]}"
246_0,41.41175069297528,2.1916647144305728,0,166.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1916647144305728,41.41175069297528]}"
247_0,41.39477253410542,2.1544744616680305,0,167.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1544744616680305,41.39477253410542]}"
248_0,41.482088779721835,2.0458681438179838,0,168.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0458681438179838,41.482088779721835]}"
249_0,41.40447433917391,2.1110858334450597,0,169.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1110858334450597,41.40447433917391]}"
250_0,41.45864275080632,2.137765797383395,0,170.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.137765797383395,41.45864275080632]}"
252_0,41.45594780495396,2.069314172733499,0,171.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.069314172733499,41.45594780495396]}"
255_0,41.49502451981316,2.2919167001383016,0,172.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2919167001383016,41.49502451981316]}"
256_0,41.48262776889231,2.1725305988788364,0,173.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1725305988788364,41.48262776889231]}"
257_0,41.486939682256086,2.0938381799899446,0,174.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0938381799899446,41.486939682256086]}"
258_0,41.32874636072263,2.0604208514207016,0,175.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0604208514207016,41.32874636072263]}"
259_0,41.39423354493495,2.1496235591337722,0,176.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1496235591337722,41.39423354493495]}"
260_0,41.33440574701259,2.153935472497551,0,177.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.153935472497551,41.33440574701259]}"
261_0,41.3780638698208,2.1641762667365185,0,178.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1641762667365185,41.3780638698208]}"
264_0,41.37833336440603,2.0687751835630195,0,179.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0687751835630195,41.37833336440603]}"
266_0,41.35758228134287,2.1536659779123113,0,180.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1536659779123113,41.35758228134287]}"
